527,81,699,77,700,118,529,122
270,90,511,79,513,124,272,136
447,140,530,138,531,165,448,167
395,140,438,140,438,168,395,168
343,144,386,144,386,172,343,172
528,161,598,161,598,189,528,189
476,166,506,166,506,193,476,193
331,172,453,169,454,196,331,199
277,174,322,174,322,200,277,200
503,191,612,185,614,213,504,220
424,195,492,191,494,222,426,225
331,198,390,198,390,226,331,226
253,202,322,202,322,230,253,230
559,246,629,243,631,272,560,276
456,253,550,247,552,277,457,282
416,255,446,255,446,283,416,283
321,258,406,255,407,284,322,287
256,260,313,260,313,290,256,290
630,301,660,301,660,331,630,331
603,305,622,305,622,331,603,331
430,312,538,309,538,339,431,342
549,309,566,309,566,333,549,333
338,318,395,316,396,345,339,348
405,316,420,316,420,341,405,341
258,320,330,320,330,350,258,350
166,324,249,322,250,352,166,354
630,330,661,330,661,390,630,390
604,333,622,333,625,416,607,416
311,348,384,344,385,373,313,377
247,350,303,350,303,378,247,378
166,352,238,352,238,382,166,382
381,373,477,369,479,397,382,402
303,376,371,376,371,405,303,405
221,378,264,378,264,406,221,406
275,378,305,378,305,405,275,405
166,380,211,380,211,408,166,408
633,386,665,386,665,416,633,416
289,405,387,401,388,431,290,434
168,406,281,406,281,436,168,436
637,416,667,416,667,444,637,444
609,418,628,418,628,444,609,444
168,437,267,434,269,464,169,467
346,459,416,459,416,489,346,489
318,461,335,461,335,487,318,487
294,465,307,465,307,485,294,485
198,466,241,466,241,493,198,493
639,472,669,472,669,500,639,500
613,474,631,474,631,500,613,500
439,484,562,477,564,506,440,513
372,487,431,485,432,514,373,516
252,492,365,486,366,516,253,521
174,495,243,495,243,525,174,525
697,532,723,532,723,560,697,560
643,534,688,534,688,562,643,562
175,555,286,551,287,581,176,585
699,558,725,558,725,586,699,586
643,562,689,559,691,588,645,591
179,583,311,580,311,609,180,613
701,586,727,586,727,615,701,615
646,588,691,588,691,618,646,618
176,611,234,611,234,639,176,639
406,630,440,630,440,658,406,658
448,630,476,630,476,656,448,656
341,635,356,635,356,658,341,658
189,637,303,637,303,667,189,667
255,662,505,650,507,684,257,695
189,667,247,667,247,695,189,695
560,680,603,680,603,708,560,708
465,684,523,684,523,714,465,714
530,684,560,684,560,705,530,705
283,692,372,686,374,718,285,724
410,688,457,692,455,719,409,715
191,695,249,695,249,725,191,725
547,708,605,708,605,738,547,738
409,717,509,710,511,741,411,748
519,714,536,714,536,738,519,738
286,723,318,723,318,751,286,751
189,729,249,729,249,755,189,755
548,738,635,734,636,764,549,768
521,742,538,742,538,766,521,766
412,744,455,744,455,774,412,774
455,744,511,744,511,774,455,774
315,751,387,746,389,777,317,781
231,752,305,749,306,782,232,785
187,753,236,753,236,785,187,785
482,771,554,768,556,798,483,801
358,778,470,772,471,803,360,809
186,784,348,774,350,809,188,818
440,798,530,798,530,832,440,832
414,808,431,808,431,832,414,832
247,813,363,813,363,843,247,843
189,813,236,813,236,847,189,847
631,898,781,893,782,924,632,929
588,900,607,900,607,928,588,928
172,919,250,914,253,948,175,953
262,916,279,916,279,943,262,943
590,915,652,915,652,961,590,961
660,926,725,923,726,957,662,960
545,930,579,930,579,963,545,963
474,931,538,931,538,965,474,965
390,937,453,937,453,971,390,971
350,943,393,943,393,973,350,973
172,950,323,941,326,976,174,986
624,997,658,997,658,1031,624,1031
492,1001,614,998,615,1034,493,1037
436,1005,485,1005,485,1038,436,1038
378,1008,427,1008,427,1042,378,1042
290,1014,367,1009,369,1044,292,1049
496,1035,545,1035,545,1070,496,1070
555,1036,571,1036,571,1065,555,1065
394,1040,485,1036,487,1071,395,1075
409,1072,564,1069,564,1105,410,1108
571,1074,620,1074,620,1102,571,1102
351,1085,401,1082,402,1109,352,1112
