163,437,267,432,268,462,165,467,BANANAS
547,741,636,735,638,763,549,769,075104
370,487,430,483,432,512,372,515,PEAR
424,193,492,189,493,221,426,224,(415)
162,410,278,404,279,433,164,439,MEATLESS
439,804,530,800,532,829,440,833,075104
285,404,383,400,385,429,287,433,FALAFEL
185,757,305,750,307,781,187,788,06//15/16
633,897,786,891,787,920,635,927,JAZZZMARIE
273,378,371,373,373,401,274,406,NATURAL
184,638,301,633,302,663,186,669,PURCHASE
665,929,725,925,726,955,667,959,0955
311,347,382,344,384,372,312,375,BROWN
393,1044,483,1039,485,1072,395,1077,TRADER
330,171,451,165,452,193,331,199,FRANCISCO
496,1037,558,1036,558,1069,496,1070,JOE''S
241,815,360,810,361,840,243,846,SEQUENCE
411,716,510,713,511,742,412,744,CASHIER
526,162,598,160,599,185,527,187,94103
163,381,209,378,210,407,164,409,LOW
558,246,629,242,631,269,560,273,DAFTLY
162,351,235,349,236,378,163,380,GRAIN
167,584,311,578,313,607,168,613,TOTAL
249,491,361,486,362,515,251,520,DRESSING
430,312,537,308,538,337,431,342,BROCCOLI
462,686,520,683,522,710,464,713,DATE
285,692,372,690,373,719,286,721,02092C
218,378,263,376,264,406,219,408,FAT
357,777,470,771,471,802,358,809,TERM-001
266,89,510,77,512,121,268,133,TRADER
437,482,564,476,565,507,439,513,CHAMPAGNE
243,349,302,348,303,376,244,377,RICE
494,1002,618,999,619,1034,494,1037,SHOPPING
377,372,475,368,476,397,379,402,GRANOLA
167,496,242,492,244,520,168,524,SALAD
612,418,665,414,668,442,615,446,0.76
447,138,529,135,530,162,448,165,STREET
184,698,245,694,247,723,186,727,AUTH
248,202,321,199,322,227,249,229,STORE
288,1017,368,1013,370,1047,290,1051,THANK
171,921,249,916,251,948,173,952,ITEMS
524,80,702,77,702,118,524,121,JOE'S
172,556,284,551,285,580,173,584,SUBTOTAL
160,324,246,320,247,350,162,353,ENTREE
173,953,323,944,325,977,175,986,06-15-2016
330,198,387,195,388,222,332,225,#078
173,612,235,609,236,637,174,639,VISA
319,751,385,747,387,777,320,780,12:47
254,260,312,258,313,287,255,289,OPEN
196,787,344,776,346,807,198,818,MRCH--694078
410,688,454,687,455,715,411,716,EXP
255,320,330,317,331,347,256,351,ASIAN
645,562,695,558,697,586,646,590,$20
549,710,606,707,607,734,550,738,1292
336,317,392,315,394,342,337,344,BEEF
341,146,384,143,386,167,343,170,555
378,1013,424,1009,427,1040,381,1044,YOU
336,459,415,456,417,485,337,489,.19/EA
187,730,246,727,247,753,188,756,LANE
505,189,609,184,610,211,507,216,863-1292
187,667,248,664,249,695,188,697,VISA
571,1077,619,1074,621,1100,572,1102,COM
648,591,707,585,710,613,651,619,$20.77
484,771,554,767,556,798,486,801,IC-CC
425,631,475,627,477,655,427,659,0.71
646,533,709,530,711,558,647,561,$20.7
455,252,550,246,552,274,457,280,10:0OPM
475,936,537,933,538,964,477,966,0078
596,932,653,929,655,959,597,961,292
436,1008,482,1005,484,1038,438,1041,FOR
411,746,453,744,454,773,412,775,REF
276,174,320,173,321,199,276,201,SAN
456,742,513,741,513,772,457,773,SEG
382,941,451,937,453,969,384,973,47PM
186,818,234,815,236,844,188,847,EPS
195,465,240,462,242,491,197,494,4EA
394,142,438,141,438,166,395,167,GOTH
613,475,669,470,671,498,615,503,299
348,1085,401,1081,403,1109,351,1114,AWN
619,387,663,384,665,413,621,416,399
